Id,predicted stock prices
0,930.5633997071735
1,311.0615671935451
2,250.35706492617544
3,698.3406995268206
4,1024.965359999904
5,715.4107343615512
6,303.69646335881976
7,360.3236377647223
8,551.1632468948887
9,89.01909049263094
10,211.75394081597648
11,370.98856801893044
12,193.24482762235198
13,315.27879242226004
14,556.1144227872497
15,352.9155906737964
16,316.90649346523844
17,341.29786038768634
18,477.1732802619946
19,453.91307477626776
20,377.87111525740295
21,309.07130061389853
22,921.0795972614384
23,82.6919552215802
24,185.07254686593046
25,671.9223005806479
26,277.3832280679602
27,319.9726501591433
28,572.42593096404
29,727.0412629127736
30,389.66579146947976
31,288.32629790177737
32,239.5824334837817
33,566.5588894922014
34,298.5299491221216
35,355.5296294156464
36,363.3602469607421
37,872.3357989251838
38,676.2433392863044
39,329.3094502002503
40,352.5507879672839
41,367.4188339866456
42,167.39330636165062
43,110.92105881179663
44,754.9657712179035
45,293.65232463151057
46,703.3557030690741
47,396.68918856150583
48,562.8927885388748
49,245.8071728307837
50,289.34701461223443
51,321.9896441817981
52,113.49769110078881
53,490.9187979523388
54,647.917536115519
55,209.74468947190132
56,341.089386970811
57,265.3382108980127
58,115.04176740096563
59,396.67683413841576
60,743.7801510157534
61,390.64959571864995
62,710.1335677722243
63,350.28679563819924
64,639.823223545621
65,425.64190906736246
66,394.24206637736
67,344.91761132007446
68,264.7217132272091
69,373.2063258285166
70,382.4055949301386
71,713.8987192572787
72,71.29596724796971
73,324.1518508240558
74,117.87218786755449
75,450.46050966896235
76,550.1363693178332
77,301.99352336905025
78,419.37309734835515
79,938.4001232220733
80,420.66048528116664
81,238.34410055316766
82,259.66418801812
83,689.5253395052434
84,326.9759603456849
85,999.9754566237584
86,553.1540902215779
87,701.1800939307229
88,648.2907509654115
89,424.0036659882076
90,376.93102160431295
91,400.9416451449504
92,727.5043329390813
93,903.7474920229722
94,747.7825537849897
95,303.6643686329063
96,344.920583526007
97,694.9939249037793
98,313.3532052346748
99,357.425892357932
100,381.0105469763806
101,393.4323296062439
